Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Best CV F1,Best Parameters
Tuned Random Forest,0.7456,0.5143,0.7701,0.6167,0.8333,0.6343,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 8, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 400}"
Tuned Gradient Boosting,0.7932,0.6361,0.5187,0.5714,0.8389,0.585,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}"
