Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression - Original Features,0.8045,0.6495,0.5749,0.6099,0.8359
Logistic Regression - Engineered Features,0.7953,0.6361,0.5374,0.5826,0.8342
